SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY FSI,2020-05-13 19:50:54,bbrade0@dailymotion.com,China,CN,Data Analyst,proficient,proficient,beginner,competent,expert,expert,proficient,proficient,proficient,none,competent,5,Oracle Database,Google Cloud,AWS;Azure,Azure,On-premise;AWS,On-premise,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-08-08 21:35:04,pproschke1@china.com.cn,Venezuela,VE,Physicist,none,beginner,competent,competent,expert,proficient,beginner,beginner,beginner,expert,competent,1,Amazon Redshift,AWS,Azure,AWS Azure,Google Cloud;AWS;Azure,AWS;Azure,AWS;Azure
ANALYTICS SURVEY FSI,2020-09-17 17:26:45,tavrasin2@prnewswire.com,Palestinian Territory,PS,Data Scientist,competent,none,beginner,proficient,none,expert,beginner,beginner,competent,none,beginner,4,Amazon Redshift,AWS,Google Cloud,AWS Azure,Azure,On-premise,Azure
ANALYTICS SURVEY,2020-05-14 10:54:23,fphilliphs3@theatlantic.com,Bolivia,BO,Data Analyst,none,beginner,proficient,none,proficient,expert,none,proficient,competent,expert,proficient,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Google Cloud;Azure,Google Cloud,AWS;Azure,On-premise;AWS,On-premise
ANALYTICS SURVEY JAN-21,2020-09-07 16:07:09,sdood4@domainmarket.com,France,FR,Data Engineer,competent,none,expert,competent,beginner,none,none,proficient,beginner,beginner,proficient,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS;Azure,AWS,On-premise;AWS,AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-09-13 13:35:15,obaraja5@unc.edu,Sweden,SE,Citizen Data Scientist,proficient,beginner,none,proficient,proficient,beginner,expert,beginner,expert,competent,expert,1,Teradata,AWS,Google Cloud;AWS,Google Cloud;AWS,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",AWS;Azure
ANALYTICS SURVEY FSI,2020-06-01 20:13:05,mhainning6@google.com.au,China,CN,Data Scientist,beginner,competent,proficient,proficient,competent,none,expert,expert,beginner,competent,none,1,Google Cloud BigQuery,Google Cloud,AWS,Google Cloud,"Google Cloud;On-premise,AWS",Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FSI,2020-06-23 11:05:04,cartinstall7@4shared.com,Indonesia,ID,Citizen Data Scientist,none,proficient,proficient,proficient,beginner,beginner,none,competent,proficient,none,competent,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS,Azure,Azure,AWS,On-premise
ANALYTICS SURVEY FEB-21,2020-07-25 19:04:41,dmoverley8@usda.gov,Serbia,RS,Data Analyst,expert,competent,proficient,beginner,beginner,competent,beginner,competent,none,competent,proficient,2,Amazon Redshift,On-premise,Azure,AWS Azure,On-premise,Google Cloud;AWS;Azure,AWS
ANALYTICS SURVEY RETAIL,2020-03-12 14:45:24,rgillopp9@biglobe.ne.jp,Poland,PL,Data Analyst,beginner,competent,competent,none,expert,proficient,none,beginner,beginner,competent,none,4,Amazon Redshift;Teradata,Azure,AWS,Google Cloud;Azure,Azure,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-09-06 06:02:31,bbevisa@spotify.com,Indonesia,ID,Data Scientist,competent,proficient,expert,none,proficient,beginner,beginner,competent,competent,proficient,proficient,5,Microsoft SQL Server,On-premise,AWS;Azure,Google Cloud;AWS,Azure,On-premise,Google Cloud
ANALYTICS SURVEY RETAIL,2020-10-09 21:05:34,jflochb@princeton.edu,Malaysia,MY,Physicist,competent,expert,beginner,competent,none,competent,beginner,beginner,proficient,none,beginner,3,Google Cloud BigQuery,Google Cloud,Google Cloud,Google Cloud,On-premise;Azure,On-premise;Azure,AWS;Azure
